sample,year,egg,sex,processing_latency,part,percent.cells,HH,DNA.conc,DNA.quantity,female.id,probability.of.parentage,probability.of.parentage.idexcl,colony.mother.correct,colony.mother.correct.idexcl,colony.father.match.social,colony.father.match.idexcl,hh.stage,percentage.cells,sep/gunk,zero.amplification,number.amplified,percent.amplfied,mismatched.microsats,percent.mismatched
E20.098,2020,E20.098,F,NA,EC,10,1,0.224,11.2,55,0.0128,0.0129,1,1,0,0,0,10,SEP,FALSE,36,90,0,0
E20.099,2020,E20.099,F,NA,PVL+EC,100,2,4.16,208,19,0.4584,0.0129,1,1,0,0,0,100,GUNK,FALSE,40,100,2,11.11
E20.100,2020,E20.100,F,NA,EC,10,1,1.52,76,56,0.0128,0.0129,1,1,0,0,0,10,SEP,FALSE,38,95,0,0
E20.101,2020,E20.101,M,NA,PVL+EC,10,1,1.3,65,42,0.0128,0.0129,1,1,0,0,0,10,SEP,FALSE,40,100,1,5.56
E20.102,2020,E20.102,M,NA,PVL+EC,NA,1,0.132,6.6,42,0.0128,0.0129,1,1,0,0,0,10,SEP,FALSE,26,65,0,0
E20.103,2020,E20.103,M,NA,PVL+EC,100,2,24,1200,28,0.0128,0.0129,1,1,0,0,0,100,GUNK,FALSE,38,95,0,0
E20.104,2020,E20.104,M,NA,EC,100,2,12.6,630,57,0.0128,0.0129,NA,NA,0,0,0,100,GUNK,FALSE,22,55,0,0
E20.106,2020,E20.106,NA,NA,EC,100,2,4.04,404,27,0.4584,0.9319,1,1,0,0,22,100,GUNK,FALSE,24,60,1,5.56
E20.107,2020,E20.107,M,NA,PVL,10,1,0.264,26.4,27,0.4584,0.9319,1,1,0,0,0,5,SEP,FALSE,28,70,4,22.22
E20.108,2020,E20.108,NA,NA,PVL,10,1,0.49,49,13,NA,NA,NA,NA,NA,NA,0,5,SEP,FALSE,2,5,NA,NA
E20.109,2020,E20.109,F,NA,EC,100,2,16.7,1670,58,0.0128,0.9319,1,1,0,0,0,100,GUNK,FALSE,38,95,0,0
E20.110,2020,E20.110,M,NA,EC,100,2,0.96,96,58,NA,NA,NA,NA,NA,NA,21,100,GUNK,TRUE,0,0,NA,NA
E20.111,2020,E20.111,M,NA,EC,100,2,14.1,1410,58,0.4584,0.9319,1,1,0,0,0,100,GUNK,FALSE,40,100,2,11.11
E20.112,2020,E20.112,M,NA,EC,NA,1,47.8,4780,36,0.4584,0.0129,1,1,0,0,25,100,GUNK,FALSE,40,100,0,0
E20.114,2020,E20.114,M,NA,PVL,NA,1,0.752,75.2,47,0.4584,0.9319,0,0,0,0,0,10,SEP,FALSE,40,100,5,27.78
E20.115,2020,E20.115,M,NA,EC,10,1,2.98,298,18,0.4584,0.3431,1,1,0,0,0,100,SEP,FALSE,40,100,7,38.89
E20.116,2020,E20.116,F,NA,PVL+EC,NA,1,87,8700,13,0.0128,0.0129,1,1,0,0,0,10,GUNK,FALSE,38,95,3,16.67
